Date,Market_ret,Breadth,rolling,market_anomaly_flag
2018-01-02,,0.0,,0
2018-01-03,0.01492593503663762,0.75,,0
2018-01-04,0.002920812662215549,0.875,,0
2018-01-05,0.012394532649468399,1.0,,0
2018-01-08,0.015280153704115325,0.875,,0
2018-01-09,-0.0023260580051058387,0.25,,0
2018-01-10,0.002290109946839238,0.5,,0
2018-01-11,0.008553811307196119,1.0,,0
2018-01-12,0.010292011015992024,0.75,,0
2018-01-16,-0.002775076943896667,0.375,,0
2018-01-17,0.008883955542797481,0.75,,0
2018-01-18,0.0001113402349505953,0.375,,0
2018-01-19,0.0058544420048327744,0.75,,0
2018-01-22,0.014501531489925518,0.875,,0
2018-01-23,0.021767928508640257,1.0,,0
2018-01-24,-0.002464526850524928,0.125,,0
2018-01-25,0.0027869351431650084,0.625,,0
2018-01-26,0.01520074351812894,1.0,,0
2018-01-29,0.006690724088642102,0.5,,0
2018-01-30,-0.008481341564124712,0.125,,0
2018-01-31,0.006417886618959085,0.875,,0
2018-02-01,-0.01399960080770499,0.125,,0
2018-02-02,-0.018696727059822917,0.25,,0
2018-02-05,-0.043663733208389816,0.0,,0
2018-02-06,0.03350962443750334,1.0,,0
2018-02-07,-0.006883083957552609,0.25,,0
2018-02-08,-0.0504087266851378,0.0,,0
2018-02-09,0.018267892928123818,0.625,,0
2018-02-12,0.018147064701139134,0.875,,0
2018-02-13,0.01119563221215792,0.875,,0
2018-02-14,0.01997534048691181,0.875,,0
2018-02-15,0.026058268318557017,1.0,,0
2018-02-16,-0.004094771841769881,0.25,,0
2018-02-20,0.005858713847754115,0.75,,0
2018-02-21,-0.0034203728797260456,0.375,,0
2018-02-22,0.0050755782019041885,0.625,,0
2018-02-23,0.01876283957989554,1.0,,0
2018-02-26,0.01533022522151932,1.0,,0
2018-02-27,-0.011253220399446717,0.0,,0
2018-02-28,-0.007598693639576648,0.25,,0
2018-03-01,-0.020609622572188874,0.0,,0
2018-03-02,0.012837629727223852,1.0,,0
2018-03-05,0.010443490372991814,0.75,,0
2018-03-06,0.007425273808259661,0.625,,0
2018-03-07,0.0018919347455493242,0.625,,0
2018-03-08,0.0018099193265772365,0.625,,0
2018-03-09,0.020140176539487763,0.875,,0
2018-03-12,0.009702312270289138,0.875,,0
2018-03-13,-0.014004428421941526,0.0,,0
2018-03-14,-0.0034176778482700723,0.5,,0
2018-03-15,-0.00028885863128417046,0.5,,0
2018-03-16,-0.004942195438597166,0.25,,0
2018-03-19,-0.0224608897686128,0.0,,0
2018-03-20,0.008423897669975122,0.625,,0
2018-03-21,-0.0033256700610682292,0.125,,0
2018-03-22,-0.026245399863767255,0.0,,0
2018-03-23,-0.026967338703524565,0.0,,0
2018-03-26,0.043767644566182345,1.0,,0
2018-03-27,-0.05095003006454457,0.0,,0
2018-03-28,-0.02672464671039736,0.0,,0
2018-03-29,0.025281120020907516,1.0,,0
2018-04-02,-0.03612801080372488,0.0,,0
2018-04-03,0.018333990018952674,1.0,,0
2018-04-04,0.02291369121578591,1.0,0.042910160967923314,0
2018-04-05,0.013323471607756415,0.875,0.042910160967923314,0
2018-04-06,-0.024814448955868526,0.0,0.042910160967923314,0
2018-04-09,0.0013143917165583145,0.875,0.042910160967923314,0
2018-04-10,0.029959572153134353,1.0,0.042910160967923314,0
2018-04-11,-0.004970097872439239,0.125,0.042910160967923314,0
2018-04-12,0.012518801612527998,0.875,0.042910160967923314,0
2018-04-13,-0.0005914663420881419,0.375,0.042910160967923314,0
2018-04-16,-1.167621432010199e-05,0.625,0.042910160967923314,0
2018-04-17,0.029553831810807018,0.875,0.042910160967923314,0
2018-04-18,0.003263524170232412,0.5,0.042910160967923314,0
2018-04-19,-0.0027953703395403075,0.375,0.042910160967923314,0
2018-04-20,-0.018428649018142274,0.0,0.042910160967923314,0
2018-04-23,-0.010473903894984937,0.125,0.042910160967923314,0
2018-04-24,-0.02405984149886035,0.125,0.042910160967923314,0
2018-04-25,-0.004643211030133044,0.5,0.042910160967923314,0
2018-04-26,0.023569903397319843,1.0,0.042910160967923314,0
2018-04-27,0.0072776729300693226,0.625,0.042910160967923314,0
2018-04-30,-0.004284432821635582,0.25,0.042910160967923314,0
2018-05-01,0.014461338009179477,1.0,0.042910160967923314,0
2018-05-02,0.0001446413985828161,0.375,0.042910160967923314,0
2018-05-03,-0.0027270709905244683,0.625,0.042910160967923314,0
2018-05-04,0.023299513957272214,1.0,0.042910160967923314,0
2018-05-07,0.01698788713383326,1.0,0.03586617216710272,0
2018-05-08,7.946336044787803e-06,0.375,0.035511166938665815,0
2018-05-09,0.014536817085590169,1.0,0.035511166938665815,0
2018-05-10,0.0074300666625835895,0.75,0.02991899811890162,0
2018-05-11,-0.007081683647934707,0.0,0.02991899811890162,0
2018-05-14,-0.001971496443875792,0.625,0.02991899811890162,0
2018-05-15,-0.01690981851797881,0.0,0.02991899811890162,0
2018-05-16,0.005141119173259445,0.875,0.02991899811890162,0
2018-05-17,-0.0043942428454996985,0.125,0.02991899811890162,0
2018-05-18,-0.007478377775971779,0.125,0.02991899811890162,0
2018-05-21,0.011300964984871487,0.875,0.02991899811890162,0
2018-05-22,-0.006956685703038966,0.0,0.02991899811890162,0
2018-05-23,0.015554233244038564,1.0,0.02991899811890162,0
2018-05-24,0.0006024608137995473,0.375,0.02991899811890162,0
2018-05-25,0.002836929384675059,0.875,0.02991899811890162,0
2018-05-29,-0.0017828895938427616,0.25,0.02991899811890162,0
2018-05-30,0.010940320221236154,0.875,0.02991899811890162,0
2018-05-31,-0.0017385058762481628,0.25,0.02991899811890162,0
2018-06-01,0.020339836740180313,1.0,0.02991899811890162,0
2018-06-04,0.01332723226997683,1.0,0.02991899811890162,0
2018-06-05,0.0032240910630488635,0.75,0.02991899811890162,0
2018-06-06,0.013825746589784972,0.75,0.02991899811890162,0
2018-06-07,-0.009609062852612817,0.0,0.02991899811890162,0
2018-06-08,-0.0007430707173764459,0.375,0.02991899811890162,0
2018-06-11,0.005797667004414564,0.625,0.02991899811890162,0
2018-06-12,0.008956031533459051,1.0,0.02991899811890162,0
2018-06-13,0.004595447738443589,0.375,0.02991899811890162,0
2018-06-14,0.016262637178860402,1.0,0.02991899811890162,0
2018-06-15,-0.0048716497906124605,0.125,0.02991899811890162,0
2018-06-18,0.0077981084251590605,0.5,0.02991899811890162,0
2018-06-19,-0.005907088551789616,0.25,0.02991899811890162,0
2018-06-20,0.012450536015920013,1.0,0.02991899811890162,0
2018-06-21,-0.01359204766249114,0.0,0.02991899811890162,0
2018-06-22,-0.011907165365343503,0.0,0.02991899811890162,0
2018-06-25,-0.028440685706856535,0.0,0.02944251720041197,0
2018-06-26,0.014029392110258236,0.875,0.028269081807210616,0
2018-06-27,-0.012958464836951077,0.125,0.02812472913826163,0
2018-06-28,0.013871264022562372,1.0,0.02807806203175773,0
2018-06-29,-0.005615945223608025,0.25,0.024738988210167706,0
2018-07-02,0.008569278294896027,0.875,0.024738988210167706,0
2018-07-03,-0.023319186860784887,0.0,0.024738988210167706,0
2018-07-05,0.011623904346090638,0.875,0.024738988210167706,0
2018-07-06,0.013100918582957822,0.875,0.0240108476887063,0
2018-07-09,0.015249170135267547,1.0,0.0240108476887063,0
