Date,Open,High,Low,Close,Adj Close,Volume,Company_name,Daily Return,ret_z,vol_z,range_pct,Anomaly Flag,Stats,Kmeans Anomaly Flag,DBSCAN_flag,Union Column,Intersection Column
2018-04-04,164.8800048828125,172.00999450683594,164.77000427246094,171.61000061035156,166.85214233398438,34605500.0,AAPL,0.019122250713373888,1.1264304513063175,0.265747043796155,93.65079365079364,0,Normal Day,0,0,0,0
2018-04-05,172.5800018310547,174.22999572753906,172.0800018310547,172.8000030517578,168.00912475585938,26933200.0,AAPL,0.0069341778037173354,0.39582972062023747,-0.9440892779141529,33.33333333333333,0,Normal Day,0,0,0,0
2018-04-06,170.97000122070312,172.47999572753906,168.1999969482422,168.3800048828125,163.71170043945312,35005300.0,AAPL,-0.025578517373095095,-1.4766953374237726,0.278894710287747,73.01587301587301,0,Normal Day,0,0,0,0
2018-04-09,169.8800048828125,173.08999633789062,169.85000610351562,170.0500030517578,165.33538818359375,29017700.0,AAPL,0.00991797006433958,0.5924986321314952,-0.6938271317881644,57.14285714285714,0,Normal Day,0,0,0,0
2018-04-10,173.0,174.0,171.52999877929688,173.25,168.44667053222656,28408600.0,AAPL,0.018818006131742008,1.0803257928102397,-0.7592805707985048,34.92063492063492,0,Normal Day,0,0,0,0
2018-04-11,172.22999572753906,173.9199981689453,171.6999969482422,172.44000244140625,167.65911865234375,22431600.0,AAPL,-0.0046753781324050635,-0.27207716041366936,-1.697682752569519,30.158730158730158,0,Normal Day,0,0,0,0
2018-04-12,173.41000366210938,175.0,173.0399932861328,174.13999938964844,169.31199645996094,22889300.0,AAPL,0.009858561949407466,0.5560977843112541,-1.4485875477724643,14.285714285714285,0,Normal Day,0,0,0,0
2018-04-13,174.77999877929688,175.83999633789062,173.85000610351562,174.72999572753906,169.88560485839844,25124300.0,AAPL,0.003387878061984506,0.18578131376508622,-0.9930860143329341,15.873015873015872,0,Normal Day,0,0,0,0
2018-04-16,175.02999877929688,176.19000244140625,174.8300018310547,175.82000732421875,170.94541931152344,21578400.0,AAPL,0.006238400563769763,0.35434056592011454,-1.5954498603424088,3.1746031746031744,0,Normal Day,0,0,0,0
2018-04-17,176.49000549316406,178.94000244140625,176.41000366210938,178.24000549316406,173.29830932617188,26605400.0,AAPL,0.01376398399047262,0.7681492482634742,-0.6588741560186946,34.92063492063492,0,Normal Day,0,0,0,0
2018-04-18,177.80999755859375,178.82000732421875,176.8800048828125,177.83999633789062,172.90939331054688,20754500.0,AAPL,-0.0022441997105292306,-0.1355863571468451,-1.506050801423012,11.11111111111111,0,Normal Day,0,0,0,0
2018-04-19,173.75999450683594,175.38999938964844,172.66000366210938,172.8000030517578,168.00912475585938,34808800.0,AAPL,-0.028340094548169353,-1.5851148736784562,0.45249253072169865,44.44444444444444,0,Normal Day,0,0,0,0
2018-04-20,170.60000610351562,171.22000122070312,165.42999267578125,165.72000122070312,161.1254119873047,65491100.0,AAPL,-0.040972255397185596,-2.1789718571656094,2.508737881111299,84.12698412698413,1,Normal Day,0,0,0,0
2018-04-23,166.8300018310547,166.9199981689453,164.08999633789062,165.24000549316406,160.65875244140625,36515500.0,AAPL,-0.0028962504433205504,-0.1109389516030736,0.4774201162527075,46.03174603174603,0,Normal Day,0,0,0,0
2018-04-24,165.6699981689453,166.3300018310547,161.22000122070312,162.94000244140625,158.42251586914062,33692000.0,AAPL,-0.013919170529356633,-0.6966891740110134,0.2272630806288024,82.53968253968253,0,Normal Day,0,0,0,0
2018-04-25,162.6199951171875,165.4199981689453,162.41000366210938,163.64999389648438,159.11280822753906,28382100.0,AAPL,0.004357286933687061,0.2792779145249599,-0.3533788527348837,52.38095238095238,0,Normal Day,0,0,0,0
2018-04-26,164.1199951171875,165.72999572753906,163.3699951171875,164.22000122070312,159.66700744628906,27963000.0,AAPL,0.003483058497449609,0.21457932161718998,-0.3494699637971864,34.92063492063492,0,Normal Day,0,0,0,0
2018-04-27,164.0,164.3300018310547,160.6300048828125,162.32000732421875,157.81968688964844,35655800.0,AAPL,-0.011569832654764646,-0.5982453447065695,0.6100497501582164,63.49206349206349,0,Normal Day,0,0,0,0
2018-04-30,162.1300048828125,167.25999450683594,161.83999633789062,165.25999450683594,160.6781768798828,42427400.0,AAPL,0.018112379048331937,0.9952577725280541,1.2387520290867728,82.53968253968253,0,Normal Day,0,0,0,0
2018-05-01,166.41000366210938,169.1999969482422,165.27000427246094,169.10000610351562,164.4116973876953,53569400.0,AAPL,0.02323601487340465,1.236258074317958,1.8866655463112365,63.49206349206349,0,Normal Day,0,0,0,0
2018-05-02,175.22999572753906,177.75,173.8000030517578,176.57000732421875,171.67462158203125,66539400.0,AAPL,0.044175227856260185,2.238181598898598,2.1759318030355925,58.73015873015873,0,Normal Day,0,1,1,0
2018-05-03,175.8800048828125,177.5,174.44000244140625,176.88999938964844,171.98573303222656,34068200.0,AAPL,0.001812215733043886,0.03771867350406997,0.1620465018933539,41.269841269841265,0,Normal Day,0,0,0,0
2018-05-04,178.25,184.25,178.1699981689453,183.8300018310547,178.7333221435547,56201300.0,AAPL,0.03923342356580105,1.9404271301502225,1.4833086931851531,84.12698412698413,0,Normal Day,0,0,0,0
2018-05-07,185.17999267578125,187.6699981689453,184.75,185.16000366210935,180.02645874023438,42451400.0,AAPL,0.007235005656309955,0.23176723538076682,0.6486924876416477,36.507936507936506,0,Normal Day,0,0,0,0
2018-05-08,184.9900054931641,186.22000122070312,183.6699981689453,186.0500030517578,180.8917694091797,28402800.0,AAPL,0.004806574961261086,0.1380948329668949,-0.4833527881300136,26.984126984126984,0,Normal Day,0,0,0,0
2018-05-09,186.5500030517578,187.3999938964844,185.22000122070312,187.3600006103516,182.1654510498047,23211200.0,AAPL,0.007041125446365194,0.2405353302780535,-1.0044321624121824,14.285714285714285,0,Normal Day,0,0,0,0
2018-05-10,187.7400054931641,190.3699951171875,187.6499938964844,190.0399932861328,184.77114868164065,27989300.0,AAPL,0.01430401657844307,0.6256397581480677,-0.5295874887556794,33.33333333333333,0,Normal Day,0,0,0,0
2018-05-11,189.4900054931641,190.05999755859372,187.4499969482422,188.58999633789065,184.06842041015625,26212200.0,AAPL,-0.0038032359299513753,-0.4025303820813352,-0.7470527137823338,30.158730158730158,0,Normal Day,0,0,0,0
